,speed,acc,lane,pos,speed_stability,acc_point,acc_avg_point,a*v
0,0,0,47@365#0,0,1.3171887,0,0,0
1,2.6,2.6,47@365#0,2.6,1.0571887,1,0,1
2,5.2,2.6,47@365#0,7.8,0.7971887,1,0,0.5
3,7.8,2.6,47@365#0,15.6,0.5371887,1,0,0.333333333
4,10.4,2.6,47@365#0,26,0.2771887,1,0,0.25
5,13,2.6,47@365#0,39,0.0171887,1,0,0.2
6,13.171887,0.171887,47@365#0,52.171887,0,0,0,0.013049535
7,13.171887,0,47@365#0,65.343774,0,0,0,0
8,13.171887,0,47@365#0,78.515661,0,0,0,0
9,13.171887,0,47@365#0,91.687548,0,0,0,0
10,13.171887,0,47@365#0,104.859435,0,0,0,0
11,13.171887,0,47@365#0,118.031322,0,0,0,0
12,13.171887,0,47@365#0,131.203209,0,0,0,0
13,13.171887,0,47@365#0,144.375096,0,0,0,0
14,13.171887,0,47@365#0,157.546983,0,0,0,0
15,13.171887,0,47@365#0,170.71887,0,0,0,0
16,13.171887,0,47@365#0,183.890757,0,0,0,0
17,13.171887,0,47@365#0,197.062644,0,0,0,0
18,13.171887,0,47@365#0,210.234531,0,0,0,0
19,13.171887,0,47@365#0,223.406418,0,0,0,0
20,13.171887,0,47@365#0,236.578305,0,0,0,0
21,13.171887,0,365@511#0,289.265853,0,0,0,0
22,13.171887,0,365@511#0,302.43774,0,0,0,0
23,13.171887,0,365@511#0,315.609627,0,0,0,0
24,13.171887,0,365@511#0,328.781514,0,0,0,0
25,13.171887,0,365@511#0,341.953401,0,0,0,0
26,13.171887,0,365@511#0,355.125288,0,0,0,0
27,13.171887,0,365@511#0,368.297175,0,0,0,0
28,13.171887,0,365@511#0,381.469062,0,0,0,0
29,13.171887,0,365@511#0,394.640949,0,0,0,0
30,13.171887,0,365@511#0,407.812836,0,0,0,0
31,13.171887,0,511@464#0,447.328497,0,0,0,0
32,13.171887,0,511@464#0,460.500384,0,0,0,0
33,13.171887,0,511@464#0,473.672271,0,0,0,0
34,13.171887,0,511@464#0,486.844158,0,0,0,0
35,13.171887,0,511@464#0,500.016045,0,0,0,0
36,13.171887,0,511@464#0,513.187932,0,0,0,0
37,13.171887,0,511@464#0,526.359819,0,0,0,0
38,13.171887,0,511@464#0,539.531706,0,0,0,0
39,13.171887,0,511@464#0,552.703593,0,0,0,0
40,13.171887,0,511@464#0,565.87548,0,0,0,0
41,13.171887,0,511@464#0,579.047367,0,0,0,0
42,13.171887,0,511@464#0,592.219254,0,0,0,0
43,13.171887,0,511@464#0,605.391141,0.2011595,0,0,0
44,13.171887,0,511@464#0,618.563028,0.6511595,0,0,0
45,13.171887,0,511@464#0,631.734915,1.1011595,0,0,0
46,13.171887,0,511@464#0,644.906802,1.3171887,0,0,0
47,13.171887,0,511@464#0,658.078689,1.3171887,0,0,0
48,13.171887,0,511@464#0,671.250576,2.0971887,0,0,0
49,13.171887,0,511@464#0,684.422463,2.3571887,0,0,0
50,13.171887,0,511@464#0,697.59435,2.6171887,0,0,0
51,13.171887,0,511@464#0,710.766237,2.6343774,0,0,0
52,13.171887,0,511@464#0,723.938124,2.6343774,0,0,0
53,11.160292,-2.011595,511@464#0,735.098416,2.4332179,-1,-1,0.180245732
54,6.660292,-4.5,511@464#0,741.758708,1.9832179,-2,-1,0.675646053
55,2.160292,-4.5,511@464#0,743.919,1.5332179,-2,0,2.083051736
56,0,-2.160292,511@464#0,743.919,1.3171887,-1,0,0
57,0,0,511@464#0,743.919,1.3171887,0,0,0
58,7.8,2.6,464@39#0,759.519,0.5371887,1,0,0.333333333
59,10.4,2.6,464@39#0,769.919,0.2771887,1,0,0.25
60,13,2.6,464@39#0,782.919,0.0171887,1,0,0.2
61,13.171887,0.171887,464@39#0,796.090887,0,0,0,0.013049535
62,13.171887,0,464@39#0,809.262774,0,0,0,0
63,13.171887,0,464@39#0,822.434661,0,0,0,0
64,13.171887,0,464@39#0,835.606548,0,0,0,0
65,13.171887,0,464@39#0,848.778435,0,0,0,0
66,13.171887,0,464@39#0,861.950322,0,0,0,0
67,13.171887,0,464@39#0,875.122209,0,0,0,0
68,13.171887,0,464@39#0,888.294096,0,0,0,0
69,13.171887,0,464@39#0,901.465983,0,0,0,0
70,13.171887,0,464@39#0,914.63787,0,0,0,0
71,13.171887,0,464@39#0,927.809757,0,0,0,0
72,13.171887,0,464@39#0,940.981644,0,0,0,0
73,13.171887,0,464@39#0,954.153531,0,0,0,0
74,13.171887,0,464@39#0,967.325418,0,0,0,0
75,13.171887,0,464@39#0,980.497305,0,0,0,0
